expansion_ratio,length_percentage,theta_n,theta_e
4,60,26.2,20.8
10,60,31.7,16.1
20,60,34.5,14.5
30,60,35.8,13.7
40,60,37.1,13.2
50,60,37.5,12.9
75,60,38.7,12.4
100,60,39.7,12.05
4,70,23.4,17.2
10,70,28.2,13.3
20,70,30.9,11.8
30,70,32.3,11.06
40,70,33.25,10.6
50,70,33.9,10.2
75,70,35.2,9.8
100,70,36.1,9.4
4,80,21.5,14
10,80,25.9,10.4
20,80,28.4,9
30,80,29.6,8.33
40,80,30.5,7.7
50,80,31.2,7.44
75,80,32.25,7
100,80,33,6.6
4,90,19.8,11.5
10,90,24,8.1
20,90,26.7,6.9
30,90,28,6.47
40,90,29,6.2
50,90,29.7,6.04
75,90,31,5.8
100,90,31.9,5.65
4,100,18.9,9.4
10,100,22.3,6.25
20,100,24.9,5.2
30,100,26.5,4.74
40,100,27.6,4.5
50,100,28.4,4.42
75,100,30,4.24
100,100,31.3,4.15